fecha,rollbit-coin_price,rollbit-coin_market_cap,rollbit-coin_volume,kaspa_price,kaspa_market_cap,kaspa_volume,injective-protocol_price,injective-protocol_market_cap,injective-protocol_volume,bitget-token_price,bitget-token_market_cap,bitget-token_volume,render-token_price,render-token_market_cap,render-token_volume,okb_price,okb_market_cap,okb_volume,xdce-crowd-sale_price,xdce-crowd-sale_market_cap,xdce-crowd-sale_volume,ripple_price,ripple_market_cap,ripple_volume,bitcoin_price,bitcoin_market_cap,bitcoin_volume,litecoin_price_x,litecoin_market_cap_x,litecoin_volume_x
2022-03-24,0.0035969582068047313,0.0,33417.59193943861,0.0,0.0,0.0,5.6158751779181975,273015506.7220307,20298535.558778055,0.19950830452402168,0.0,10367067.884747509,2.7911020388846244,644067910.2047949,18444785.14457697,20.121547600943813,5224362620.461378,187063304.6468654,0.05362211833997466,656362073.2410568,6218717.733558056,0.8376505621816649,40309455205.726654,3256620136.1043563,42802.15471016985,810894331277.664,21851891598.642384,122.30633484375645,8551817227.793575,694876456.9911262
2022-03-25,0.0035969582068047313,0.0,33417.59193943861,0.0,0.0,0.0,5.959975477495894,289858833.26088697,33219701.283579007,0.2048066416679498,0.0,8109757.157036673,2.8389452402199624,658964062.4481444,21052198.600155964,21.343537198706134,5561613339.412514,298402000.2304382,0.056468718829351776,690103187.1801353,7257520.858482981,0.8421114022402378,40523755643.15179,2788824891.43428,43936.09623454058,834251096724.507,26212783703.864426,126.94093012924071,8889688945.563856,817339754.7424108
2022-03-26,0.003575124597042241,0.0,14766.206442280198,0.0,0.0,0.0,5.739573224267699,279183099.81934,25396010.38282671,0.20873984607104917,0.0,7194865.501558301,2.7456382240226382,635365550.9049332,17494505.298760254,21.63448963724534,5627175970.69088,214640337.6821823,0.0576136896740457,703263438.1480459,8509172.063304817,0.8244213913542029,39672483855.87599,1983331996.3482928,44331.77795706412,842031938721.7855,26147756108.07925,124.04393184970449,8673709383.387667,699156200.5821561
2022-03-27,0.003677212403142773,0.0,31947.17860127909,0.0,0.0,0.0,5.825033032882898,283394481.84539706,11525087.474281276,0.21211151321145655,0.0,10084075.059660425,2.7047257335674106,626972706.4902151,14001331.822750932,22.016091543185304,5715832960.342961,155984968.43313453,0.059323779696417556,727076328.5763328,7506119.325572382,0.8310015071136351,39989129613.705086,1421460060.3801568,44510.84421762133,845235093872.7649,13676534294.229202,124.69311285061232,8720005503.92015,424690663.1283197
2022-03-28,0.003877314739169522,0.0,33162.763622155515,0.0,0.0,0.0,6.091215379936552,296745504.1303744,30724782.178248055,0.20675688675014536,0.0,9912406.451311873,2.7967802954283676,647616601.2029979,17746876.062853478,22.88047811531922,5942900403.883831,247042062.19756064,0.06124306958426301,747034571.2257773,8253023.447828823,0.8539236502608716,41121465144.908394,1855295728.8144586,46715.1176185105,887283025181.1342,22545392529.67392,129.12827809912358,9017530687.70228,628570175.5606306
2022-03-29,0.0036722682709474197,0.0,10463.93254091552,0.0,0.0,0.0,5.961491333067464,291285785.4695187,23920965.84558828,0.19676292311937693,0.0,7693343.160966262,2.945722663049272,682804877.0838467,38681313.625049844,21.99950560077725,5765236329.702603,173235841.7459071,0.061228479304261035,749059286.4835681,8751016.166336792,0.8640548948293576,41579711813.883125,3277202257.529429,46994.879118357465,892747620147.7012,30051327357.066643,127.90929429443416,8946798913.306074,845452466.1367563
2022-03-30,0.0036922933218150288,0.0,4636.956396275652,0.0,0.0,0.0,5.962244582686498,289699297.4498563,16164702.344523672,0.19832012360061163,0.0,8099912.277161742,2.9362891259827237,680202036.1225344,24414599.036031682,21.584856720971118,5620053708.672539,128208226.81204751,0.058023606250447494,735892661.2130955,8023553.044050489,0.8570422317157436,41224241577.90292,2363256678.4533124,47459.261237539096,901430001888.9999,26128040680.825665,130.03148662980206,9096209057.769444,724299185.7942713
2022-03-31,0.003984890524892648,0.0,92051.6570723896,0.0,0.0,0.0,6.202995932526535,302543563.3831902,20526312.294571895,0.19793986564977373,0.0,10448829.782418111,2.9993605444313354,694860344.036441,17400672.618091155,21.40056057398674,5578518857.404731,116019822.3458552,0.05906833320138844,723499309.7085186,6310391.80866593,0.8604847293390254,41449148705.78688,2300476564.6465573,47063.36584996355,895356010540.8462,24497248306.346912,131.03441780151215,9187246632.47704,837318486.7412882
2022-04-01,0.0037567719492174355,0.0,76862.7088489524,0.0,0.0,0.0,5.908862867665597,286090498.8481605,19487827.234210756,0.2070337186870866,0.0,15021834.344854625,2.9267740428984244,676581209.5313723,37031963.65536173,20.94723692707122,5421513505.432411,102680751.42056818,0.057434463815798545,700338117.2781857,6162603.9102168325,0.8152117836532856,39229302714.938545,2910917620.602431,45528.40715313835,865010142444.9791,27736469645.537262,123.62182315974971,8649611372.497837,1242471536.721218
2022-04-02,0.0035294688080226926,0.0,50477.91938959797,0.0,0.0,0.0,6.240061658005317,302662001.53253496,34546867.40111376,0.20914321192189358,0.0,10132478.445907112,2.9528569518859094,683510773.3174244,28863779.87884447,21.288866531991662,5536953382.226411,79228598.31686047,0.05813886832909231,711330638.0165195,6789899.369052083,0.8271257464579131,39813871220.935646,2553508655.7091336,46270.20070585378,879144224206.3806,32948605532.135277,124.86179417881476,8737259702.743517,749240231.8030623
2022-04-03,0.002939639996319034,0.0,45341.95203259946,0.0,0.0,0.0,6.125442005234689,298284485.8127055,22194240.28417557,0.20484056257078517,0.0,10690711.648530342,3.0606607750670887,712373877.5438383,35942321.07762098,20.720609358996022,5399952967.364577,74807971.78430448,0.059415161809461915,728593126.2654088,5774436.438079287,0.8242671521526577,39816351313.276695,2067165078.9801276,45842.14476317382,871050305858.7916,24803837259.76474,124.89076345530324,8740254744.195148,690210765.6577476
2022-04-04,0.0027621065349594104,0.0,32994.161727565144,0.0,0.0,0.0,6.303840304498712,306150895.0185532,15361914.865475183,0.21308449324314283,0.0,12553298.158599962,3.056623810196664,707682558.8245105,20685712.799162515,21.28298726624747,5505194902.164328,67187336.84570499,0.06073089932646996,743125366.2043722,5473600.934048758,0.8425965315597546,40545522531.02838,1819121861.203156,46434.562982661664,882346640419.069,21510196790.30345,129.00601434534587,9029301326.591904,569747297.358324
2022-04-05,0.0026306470843808385,0.0,42072.01729876801,0.0,0.0,0.0,6.2755697818135125,304909039.7690835,14557341.285914863,0.20519899046059278,0.0,11387367.426577805,2.910132659454197,675683989.2317618,22505169.657999523,20.86110229916013,5419962133.110314,78938082.20679884,0.060970270157613256,745560102.7584549,5147158.22154073,0.8281276338170943,39809813062.1763,2337211874.3592877,46622.63571309101,885584977681.2438,28019309650.72574,124.81807485356087,8737514857.13246,722104025.077731
2022-04-06,0.002509347542848976,0.0,17679.615239990875,0.0,0.0,0.0,6.335675534590945,308307973.7183016,70772305.19727376,0.20714925641571544,0.0,7822073.689867508,2.8079837282605737,653688731.7944528,18821292.716162883,20.20859977996258,5275363034.85744,53573952.220024,0.06066653572888984,742080204.9626495,4700466.380978962,0.8187524569103866,39411319969.837364,2017746802.820634,45635.45438126673,867247321783.443,25474063861.60569,123.23769153749286,8627354200.909416,549673831.3876
2022-04-07,0.002680025837512643,0.0,5791.590550396914,0.0,0.0,0.0,5.981950694947997,291859205.16773486,33918243.780307434,0.20030201445248985,0.0,7141232.0258955285,2.5017710641045183,579735028.9343712,26254734.877261266,19.00616809582001,4949553191.287933,74958699.34841318,0.055945147342678934,676599436.2868937,7049931.955823376,0.7621659169264008,36687016206.95844,3043359043.011921,43198.77526936491,820983263462.4961,34113818641.77575,112.3400632906268,7865215223.086861,945958315.4516118
2022-04-08,0.002613985079340432,0.0,22712.890404073307,0.0,0.0,0.0,6.114200188170213,297803688.9777389,19592527.02637742,0.19275510672489105,0.0,8521049.720875535,2.59033132875409,629726901.0922905,19025644.292591814,20.46916780255631,5343610445.599047,110088053.62392928,0.055533245244725304,679820888.1746713,4984517.76470087,0.788300179889034,37944994433.974365,2580151283.399397,43515.15032279806,827032889944.6309,22960138784.304127,114.25646832357047,8000180296.303743,595834194.5385668
2022-04-09,0.0026862487770163896,0.0,6162.646567677403,0.0,0.0,0.0,6.164385377494626,298643264.45632976,29790374.337432623,0.1947534057681435,0.0,9920948.394532116,2.43655421984657,589491090.1950341,22826502.212669328,19.27091175492214,5002867877.859802,76330043.27165613,0.055183794175202444,674830906.6062479,4806593.877083316,0.7549598472923912,36222968800.71056,2728014121.05299,42315.70972421807,804272478980.6077,24202906401.166885,110.75990691125516,7756150300.742073,683845857.4354802
2022-04-10,0.002696605068918039,0.0,11026.591254400118,0.0,0.0,0.0,6.370686334016628,310987988.490453,33460774.075426653,0.19327618691742224,0.0,8646031.744374959,2.5076774885075457,608359302.3774064,10780574.103425283,19.69735535167719,5112321839.191747,44569368.25784066,0.05623235441155767,687706914.872731,4164923.253494536,0.7636267236265126,36744121558.51562,2248538561.7904735,42796.39747810973,812734148492.5116,13949535311.5313,112.86859646232077,7904659965.946905,445190509.12341255
2022-04-11,0.002685569071802962,0.0,27296.19692162281,0.0,0.0,0.0,6.126155777551397,299950977.3401223,14187536.908428332,0.19475527650599878,0.0,8818767.179801282,2.4781049290466854,602462726.4946071,8966033.982609821,19.400460956280504,5066532322.743748,35550590.57331146,0.057505484105503143,703931872.9886459,4072684.325152733,0.7562784300098224,36403620789.85844,2353543395.1507244,42274.907370256085,803574629064.9272,14936318818.778025,111.00071738173511,7774659047.922987,431993131.2795852
2022-04-12,0.0023824209122684796,0.0,37624.03342398192,0.0,0.0,0.0,5.292644888056682,258468151.2027432,16037075.185258469,0.1842950207304261,0.0,8895595.100101965,2.0720111473959846,503938106.63261235,27767858.718704484,18.271316782817046,4760894966.791802,58649296.78775727,0.0546601624279564,672573007.7419183,5868222.821345801,0.6955843985559773,33601430163.01578,3463223949.7842712,39603.965159284155,752680814425.1921,30168665078.21043,102.56050255857352,7200362878.926139,731362436.3145562
2022-04-13,0.0024332820471250397,0.0,17766.126229119734,0.0,0.0,0.0,5.521611415680704,268227971.30829117,11801569.365122663,0.18377968995653216,0.0,13408414.731892176,2.0564060953135113,499183709.5538596,35405450.29501395,18.94785917101051,4925236566.557642,60511106.7673995,0.05477260314525655,670870979.5954633,6202291.500618713,0.7171206298978289,34518751871.64326,2991917530.6422462,40205.67794073206,764314681923.3135,27804694935.48352,104.95044417541315,7352380319.887069,542327195.0286468
2022-04-14,0.002586720471889857,0.0,17689.1455224932,0.0,0.0,0.0,5.562879066504242,270950407.446936,9464688.860095369,0.1930181804460191,0.0,15277020.537574608,2.1102083122504296,512440332.39794743,19584736.088775367,19.69708098899038,5128469043.922075,56137286.82309342,0.054985915307716,673368266.9739741,3977881.2982021053,0.7255258559860935,34923339191.64158,2962354970.672501,41205.16871904067,783560801481.9719,25453869985.971855,110.53930830483573,7744728903.55611,736067145.9950242
2022-04-15,0.0025697839252866793,0.0,7190.561724865082,0.0,0.0,0.0,5.3067883848988044,258330650.5115422,8519432.295079555,0.190933619574547,0.0,15184517.142313628,2.0159154409955096,489669317.1453364,20301254.590577237,19.78698097651373,5139993239.945207,92538592.609475,0.054136801334783435,662254349.6989185,3623464.990281813,0.7275666877771264,35057442819.08632,2957491995.833695,39959.457069033735,759703443634.6515,22744792147.00975,107.48156952563316,7531293576.470776,644414780.7544945
2022-04-16,0.0025348531200438803,0.0,28901.0466625874,0.0,0.0,0.0,5.327854574407551,259208405.47757235,6029890.551147049,0.18740904504622022,0.0,18846830.221204847,2.0352288630190962,493971851.37058747,9959398.098545223,20.413341679113053,5312878742.439795,49546375.76939268,0.05449448622465861,665899593.6583683,3673991.9007260483,0.7877335942179761,37917721713.907646,4005911938.6822834,40586.59730938673,771666602547.5923,22053774554.17729,111.1289503571866,7787632988.07337,664670069.2050865
2022-04-17,0.002726252851658881,0.0,20642.095540888695,0.0,0.0,0.0,5.4031090653181,263043635.32680687,6023847.76827023,0.19006982721965482,0.0,18620139.495070335,2.010457421568022,488239511.46609265,7184410.013535934,20.759840580831707,5408416260.520607,76241905.24085836,0.05470973175664707,668790951.9144882,3216163.995679141,0.7829999223908309,37740603800.122475,2670450010.076928,40450.37930543977,770439827829.2395,15777789210.238447,114.49650141679822,8024485382.087425,520120091.5888153
2022-04-18,0.0026052183042620555,0.0,11406.17735129714,0.0,0.0,0.0,5.10820903147342,248287268.79000464,5863774.6893062685,0.18868300291485607,0.0,15854338.775550373,2.0062413184875783,484882763.49783444,11400000.503067793,19.978610755116527,5196508548.931006,63656794.53444083,0.05549098973221147,679106610.0656704,3751485.9607580206,0.7537394037896591,36281404230.41864,2325391322.8994355,39739.11925622209,755627152747.4514,16627779441.567648,108.71825474219008,7620290319.365509,551054763.3958818
2022-04-19,0.002903004165613072,0.0,21672.048627847875,0.0,0.0,0.0,5.08886857898668,247457227.70880857,9788469.2287869,0.18677774673946798,0.0,17555699.84525058,2.009821525015915,487389636.35471976,24347629.772934828,19.87537459170347,5160909940.5012865,66364292.94230589,0.05407390936644023,661565299.0700101,6111187.542273267,0.7689778999098668,36961492294.77778,3253728969.0565476,40833.5379650337,776463403746.4385,30617039399.980103,111.302877050644,7802221294.782138,668538119.3721638
2022-04-20,0.003032511055723782,0.0,54970.81421776602,0.0,0.0,0.0,5.219293251081094,253226338.81993976,10059851.534068743,0.18703546687900544,0.0,16775647.593864717,2.1436996320822903,517642988.87547266,31684536.875910535,20.104056128402384,5233300329.991144,44798258.04524494,0.054972177576203075,672205443.0367016,4833971.910415944,0.7754484655148195,37281016472.190475,2955754187.371688,41498.12244669832,789141783336.2104,22717772925.289574,113.79988861884509,7978091490.946065,541535568.9640622
2022-04-21,0.0029319722814200003,0.0,25821.389522704005,0.0,0.0,0.0,5.164117466913186,251465686.42227435,11550211.793768622,0.19024896635606264,0.0,16551166.40288419,2.053806892939547,498651281.0661956,22193832.14642016,19.45502959971723,5071917007.0985775,64717475.566493705,0.05575969412548727,683189468.8794669,5017638.757640907,0.7521764937695645,36163418569.87475,2968256967.5827117,41397.220477279625,787437397453.9304,24937668255.073463,111.92766358334414,7847576071.458196,557424685.3533853
