id,price,market_cap,market_cap_rank,FDV,volume,high_24h,low_24h,price_change_24h,price_change_24h%,market_cap_change_24h,market_cap_change_24h%,circulating_supply,total_supply,max_supply,ath,ath_change%,ath_date,atl,atl_change%,atl_date,categories,categories_encoded,log_market_cap
bitcoin,29371.0,571204167904,1,616489743028,13223734000,29653.0,29144.0,20.11,0.06852,-433295625.2626953,-0.0758,19457400.0,21000000.0,21000000.0,69045.0,-57.48058,2021-11-10,67.81,43194.30895,2013-07-06,Layer 1 (L1),13,27.071012544695865
bitcoin,29371.0,571204167904,1,616489743028,13223734000,29653.0,29144.0,20.11,0.06852,-433295625.2626953,-0.0758,19457400.0,21000000.0,21000000.0,69045.0,-57.48058,2021-11-10,67.81,43194.30895,2013-07-06,Cryptocurrency,6,27.071012544695865
ripple,0.630163,33264699086,5,63016499958,989972463,0.633128,0.624514,0.00063909,0.10152,-54667057.234241486,-0.16407,52787284454.0,99988519823.0,100000000000.0,3.4,-81.45851,2018-01-07,0.00268621,23357.73673,2014-05-22,Cryptocurrency,6,24.22776258413512
litecoin,82.19,6039217154,15,6898011757,361490066,82.96,81.54,-0.7060156222540286,-0.85171,-62979670.59680462,-1.03208,73542095.7334713,84000000.0,84000000.0,410.26,-79.98478,2021-05-10,1.15,7047.57752,2015-01-14,Cryptocurrency,6,22.521540230228098
okb,47.11,2828230742,27,14141153711,4348520,47.22,46.52,-0.05519588322552237,-0.11702,-1788413.8653702736,-0.06319,60000000.0,235957685.3,300000000.0,58.66,-19.63353,2023-02-18,0.580608,8019.39759,2019-01-14,Ethereum Ecosystem,9,21.76291717359006
okb,47.11,2828230742,27,14141153711,4348520,47.22,46.52,-0.05519588322552237,-0.11702,-1788413.8653702736,-0.06319,60000000.0,235957685.3,300000000.0,58.66,-19.63353,2023-02-18,0.580608,8019.39759,2019-01-14,Centralized Exchange (CEX),4,21.76291717359006
okb,47.11,2828230742,27,14141153711,4348520,47.22,46.52,-0.05519588322552237,-0.11702,-1788413.8653702736,-0.06319,60000000.0,235957685.3,300000000.0,58.66,-19.63353,2023-02-18,0.580608,8019.39759,2019-01-14,Exchange-based Tokens,10,21.76291717359006
xdce-crowd-sale,0.062317,860988424,48,2352286449,15046476,0.065917,0.061094,-0.002582530769844709,-3.97928,-38044488.85524917,-4.23171,13856199505.05,37856200404.15,0.0,0.192754,-67.76173,2021-08-21,0.00039532,15619.14006,2019-07-22,XDC Ecosystem,19,20.573591617470033
xdce-crowd-sale,0.062317,860988424,48,2352286449,15046476,0.065917,0.061094,-0.002582530769844709,-3.97928,-38044488.85524917,-4.23171,13856199505.05,37856200404.15,0.0,0.192754,-67.76173,2021-08-21,0.00039532,15619.14006,2019-07-22,Ethereum Ecosystem,9,20.573591617470033
xdce-crowd-sale,0.062317,860988424,48,2352286449,15046476,0.065917,0.061094,-0.002582530769844709,-3.97928,-38044488.85524917,-4.23171,13856199505.05,37856200404.15,0.0,0.192754,-67.76173,2021-08-21,0.00039532,15619.14006,2019-07-22,Smart Contract Platform,17,20.573591617470033
